permalink,collection,id,loc,uuid,artist,year,location,description,imageLink
https://digitalcollections.nypl.org/items/510d47df-fa41-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260391,,1eeb10a0-c6be-012f-58dd-58d385a7bc34,,1939-1950,,Young woman metalworking,https://images.nypl.org/index.php?id=1260391&t=w
https://digitalcollections.nypl.org/items/510d47de-8410-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1212151,,24641520-c6d1-012f-59b4-58d385a7bc34,,,"Richmond, California",Woman icing cake for domestic employer employer,https://images.nypl.org/index.php?id=1212151&t=w
https://digitalcollections.nypl.org/items/510d47df-a082-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1232074,,037643c0-c6bc-012f-0577-58d385a7bc34,,1908,"Atlanta, Georgia",Woman working as a typesetter in Atlanta,https://images.nypl.org/index.php?id=1232074&t=w
https://digitalcollections.nypl.org/items/510d47df-fa33-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260383,,23acdbc0-c6be-012f-2e36-58d385a7bc34,,1939,"Mercy Hospital, New York",Young woman typing at Mercy Hospital,https://images.nypl.org/index.php?id=1260383&t=w
https://digitalcollections.nypl.org/items/510d47df-fa4d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260404,,3cbdaf50-c6d1-012f-fe3f-58d385a7bc34,"Liberman, Howard",1942,"Philadelphia, Pensylvania",Woman sews army jackets,https://images.nypl.org/index.php?id=1260404&t=w
https://digitalcollections.nypl.org/items/510d47df-fa18-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260364,,18f4e240-c6be-012f-5ce3-58d385a7bc34,,1926-1950,"New York, New York",Woman performing Kline tests at Bureau of Social Hygiene,https://images.nypl.org/index.php?id=1260364&t=w
https://digitalcollections.nypl.org/items/6bdb1562-8189-8f7e-e040-e00a18067399,Schomburg Center for Research in Black Culture,1702766,,3fec47b0-c6d1-012f-1ef7-58d385a7bc34,,1930-1945,,Woman cleaning Civil Office building,https://images.nypl.org/index.php?id=1702766&t=w
https://digitalcollections.nypl.org/items/510d47df-fa25-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260376,,20cce780-c6be-012f-e956-58d385a7bc34,,1935-1943,"New York, New York",Woman pouring coffee,https://images.nypl.org/index.php?id=1260376&t=w
https://digitalcollections.nypl.org/items/510d47de-1ca9-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1168373,,425dec40-c6e7-012f-dd02-3c075448cc4b,,1902,"St. Louis, Missouri","Home Economics class at Summer High School, St. Louis",https://images.nypl.org/index.php?id=1168373&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-994a-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818753,,92ba9260-c6ce-012f-6cf2-58d385a7bc34,,1914,"Lincoln School for Nurses, New York",Nursing students in Lincoln lounge,https://images.nypl.org/index.php?id=1818753&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-9941-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818744,,908f84d0-c6ce-012f-706e-58d385a7bc34,,1929,"Lincoln School for Nurses, New York",Five nursing students in laboratory,https://images.nypl.org/index.php?id=1818744&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-994c-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818755,,932cecf0-c6ce-012f-29d0-58d385a7bc34,,1931,"Lincoln School for Nurses, New York",Nursing students in Science laboratory,https://images.nypl.org/index.php?id=1818755&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-994b-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818754,,92f68f20-c6ce-012f-eaf0-58d385a7bc34,,1931,"Lincoln School for Nurses, New York",Nursing students in Lincoln library,https://images.nypl.org/index.php?id=1818754&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-994d-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818756,,93712fa0-c6ce-012f-e77d-58d385a7bc34,,1938,"Lincoln School for Nurses, New York",Nursing students in Lincoln library,https://images.nypl.org/index.php?id=1818756&t=w
https://digitalcollections.nypl.org/items/510d47df-fa60-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260413,,9ee93e70-c6b2-012f-587f-58d385a7bc34,"Liberman, Howard",1942,"Roanoke, Virginia",Teacher educating children on war-time scrap collection,https://images.nypl.org/index.php?id=1260413&t=w
https://digitalcollections.nypl.org/items/7e2d3c79-9951-d1b2-e040-e00a18064cca,Schomburg Center for Research in Black Culture,1818760,,946f4680-c6ce-012f-a71e-58d385a7bc34,,1960-1960,"Lincoln School for Nurses, New York",Annual Lincoln School Luncheon,https://images.nypl.org/index.php?id=1818760&t=w
https://digitalcollections.nypl.org/items/510d47dd-c69e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1206635,,36a3bde0-c6d1-012f-1fc8-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial workers building SS George Washington Carver,https://images.nypl.org/index.php?id=1206635&t=w
https://digitalcollections.nypl.org/items/510d47df-f98e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260222,,a513b4e0-c612-012f-cd26-58d385a7bc34,"Lee, Russell",1950-1959,"Good Shepard Community Center, Chicago, Illinois",Women of the National Youth Adminstration meet in Chicago,https://images.nypl.org/index.php?id=1260222&t=w
https://digitalcollections.nypl.org/items/510d47df-fa4e-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260405,,3724ad80-c6d1-012f-e685-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial workers building SS George Washington Carver,https://images.nypl.org/index.php?id=1260405&t=w
https://digitalcollections.nypl.org/items/510d47df-fa3a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260387,,1b1bfd40-c6be-012f-8075-58d385a7bc34,,1940-1949,,Young woman demonstrates tool operations,https://images.nypl.org/index.php?id=1260387&t=w
https://digitalcollections.nypl.org/items/510d47df-1f1a-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217255,,0ad98790-c6f4-012f-2902-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women working machinery in apron factory,https://images.nypl.org/index.php?id=1217255&t=w
https://digitalcollections.nypl.org/items/510d47df-f8b0-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260020,,0609f6e0-c613-012f-46ae-58d385a7bc34,"Rothstein, Arthur",1937,Washington D.C.,Woman and child in slum kitchen,https://images.nypl.org/index.php?id=1260020&t=w
https://digitalcollections.nypl.org/items/510d47df-f90f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260095,,a181cf30-c612-012f-e613-58d385a7bc34,"Wolcott, Marion Post",1939,"Atlanta, Georgia",Woman working as nanny feeds child,https://images.nypl.org/index.php?id=1260095&t=w
https://digitalcollections.nypl.org/items/510d47df-f906-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260085,,00431050-c613-012f-5a9f-58d385a7bc34,"Vachon, John",1940,"Norfolk, Virginia",Woman and children in their Virginia home,https://images.nypl.org/index.php?id=1260085&t=w
https://digitalcollections.nypl.org/items/510d47de-8176-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1211917,,aa933840-c612-012f-53e8-58d385a7bc34,"Lee, Russell",1941,"Chicago, Illinois",Woman and children in Chicago apartment,https://images.nypl.org/index.php?id=1211917&t=w
https://digitalcollections.nypl.org/items/510d47df-fa49-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260394,,2127b3a0-c6be-012f-bba4-58d385a7bc34,,1930-1959,"Long Island, New York",Women operate a food mixer,https://images.nypl.org/index.php?id=1260394&t=w
https://digitalcollections.nypl.org/items/510d47de-1ce2-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1210426,,334c31f0-c6bb-012f-a2ec-3c075448cc4b,"Washington, Booker T.",1906,"Tuskegee, Alabama",Millinery class at Tuskegee Institute,https://images.nypl.org/index.php?id=1210426&t=w
https://digitalcollections.nypl.org/items/510d47df-1f1b-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217256,,0b43ccf0-c6f4-012f-7162-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women and girls working in a milliner factory,https://images.nypl.org/index.php?id=1217256&t=w
https://digitalcollections.nypl.org/items/510d47df-1f19-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217254,,0a656cc0-c6f4-012f-4f02-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Women and girls working in lampshade factory,https://images.nypl.org/index.php?id=1217254&t=w
https://digitalcollections.nypl.org/items/84cbff90-a7ca-0131-6533-58d385a7b928,Schomburg Center for Research in Black Culture,5114784,,6d16f100-997d-0131-f800-58d385a7b928,,1954,"Brooklyn, New York",Women wait for the Miss Rheingold pageant contestants,https://images.nypl.org/index.php?id=5114784&t=w
https://digitalcollections.nypl.org/items/510d47de-1d44-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1169403,,8f86d270-c6b3-012f-0390-3c075448cc4b,"Olcott, Jane",1914-1918,"New York, New York",Women working in a garment factory during WWI,https://images.nypl.org/index.php?id=1169403&t=w
https://digitalcollections.nypl.org/items/510d47df-fa48-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260393,,1fbe4430-c6be-012f-23e9-58d385a7bc34,,1920-1939,"Chicago, Illinois","Women work as Clerks at South Parkway Y.W.C.A., Chicago",https://images.nypl.org/index.php?id=1260393&t=w
https://digitalcollections.nypl.org/items/510d47df-fa1c-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260368,,1b821cb0-c6be-012f-638a-58d385a7bc34,"Eagle, Arnold",1935-1943,"Astoria, New York",Women sewing at Astoria Work Experience Center,https://images.nypl.org/index.php?id=1260368&t=w
https://digitalcollections.nypl.org/items/510d47df-fa19-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260366,,1a2338e0-c6be-012f-bf35-58d385a7bc34,,1935-1943,"Astoria, New York",Woman supervising sewing,https://images.nypl.org/index.php?id=1260366&t=w
https://digitalcollections.nypl.org/items/510d47df-fa28-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260378,,21ea5a70-c6be-012f-99f7-58d385a7bc34,"Eagle, Arnold",1935-1943,"New York, New York",Three women at radio workshop,https://images.nypl.org/index.php?id=1260378&t=w
https://digitalcollections.nypl.org/items/510d47df-fa21-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260372,,1cf298b0-c6be-012f-ea03-58d385a7bc34,,1935-1943,,Nurses' aid feeds infant,https://images.nypl.org/index.php?id=1260372&t=w
